dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1754-01-01,4.578,2.131,Aberdeen,United Kingdom,57.05N,1.48W
1754-02-01,3.006,3.865,Aberdeen,United Kingdom,57.05N,1.48W
1754-03-01,2.61,3.797,Aberdeen,United Kingdom,57.05N,1.48W
1754-04-01,6.302,7.014,Aberdeen,United Kingdom,57.05N,1.48W
1754-05-01,9.398,3.08,Aberdeen,United Kingdom,57.05N,1.48W
1754-06-01,11.039,1.632,Aberdeen,United Kingdom,57.05N,1.48W
1754-07-01,11.928,3.02,Aberdeen,United Kingdom,57.05N,1.48W
1754-08-01,13.107,5.129,Aberdeen,United Kingdom,57.05N,1.48W
1754-09-01,11.17,3.429,Aberdeen,United Kingdom,57.05N,1.48W
1754-10-01,10.319,2.07,Aberdeen,United Kingdom,57.05N,1.48W
1754-11-01,7.731,2.428,Aberdeen,United Kingdom,57.05N,1.48W
1754-12-01,6.037,2.825,Aberdeen,United Kingdom,57.05N,1.48W
1755-01-01,2.321,5.586,Aberdeen,United Kingdom,57.05N,1.48W
1755-02-01,1.315,4.02,Aberdeen,United Kingdom,57.05N,1.48W
1755-03-01,3.287,4.493,Aberdeen,United Kingdom,57.05N,1.48W
1755-04-01,7.562,4.935,Aberdeen,United Kingdom,57.05N,1.48W
1755-05-01,8.055,2.986,Aberdeen,United Kingdom,57.05N,1.48W
1755-06-01,12.76,3.478,Aberdeen,United Kingdom,57.05N,1.48W
1755-07-01,13.456,2.123,Aberdeen,United Kingdom,57.05N,1.48W
1755-08-01,12.082,2.991,Aberdeen,United Kingdom,57.05N,1.48W
1755-09-01,10.833,1.28,Aberdeen,United Kingdom,57.05N,1.48W
1755-10-01,9.145,6.93,Aberdeen,United Kingdom,57.05N,1.48W
1755-11-01,7.015,7.617,Aberdeen,United Kingdom,57.05N,1.48W
1755-12-01,5.892,7.51,Aberdeen,United Kingdom,57.05N,1.48W
1756-01-01,6.909,5.704,Aberdeen,United Kingdom,57.05N,1.48W
1756-02-01,7.021,4.04,Aberdeen,United Kingdom,57.05N,1.48W
1756-03-01,5.075,6.918,Aberdeen,United Kingdom,57.05N,1.48W
1756-04-01,4.902,2.867,Aberdeen,United Kingdom,57.05N,1.48W
1756-05-01,7.548,5.533,Aberdeen,United Kingdom,57.05N,1.48W
1756-06-01,12.236,3.147,Aberdeen,United Kingdom,57.05N,1.48W
1756-07-01,13.79,2.515,Aberdeen,United Kingdom,57.05N,1.48W
1756-08-01,12.46,9.253,Aberdeen,United Kingdom,57.05N,1.48W
1756-09-01,12.426,3.516,Aberdeen,United Kingdom,57.05N,1.48W
1756-10-01,8.979,3.728,Aberdeen,United Kingdom,57.05N,1.48W
1756-11-01,5.232,4.9,Aberdeen,United Kingdom,57.05N,1.48W
1756-12-01,3.463,2.892,Aberdeen,United Kingdom,57.05N,1.48W
1757-01-01,2.172,3.359,Aberdeen,United Kingdom,57.05N,1.48W
1757-02-01,4.725,4.366,Aberdeen,United Kingdom,57.05N,1.48W
1757-03-01,4.472,3.758,Aberdeen,United Kingdom,57.05N,1.48W
1757-04-01,6.858,6.23,Aberdeen,United Kingdom,57.05N,1.48W
1757-05-01,8.003,3.728,Aberdeen,United Kingdom,57.05N,1.48W
1757-06-01,12.396,4.108,Aberdeen,United Kingdom,57.05N,1.48W
1757-07-01,16.136,6.632,Aberdeen,United Kingdom,57.05N,1.48W
1757-08-01,14.02,4.858,Aberdeen,United Kingdom,57.05N,1.48W
1757-09-01,12.381,8.092,Aberdeen,United Kingdom,57.05N,1.48W
1757-10-01,6.719,11.074,Aberdeen,United Kingdom,57.05N,1.48W
1757-11-01,7.934,5.45,Aberdeen,United Kingdom,57.05N,1.48W
1757-12-01,4.78,9.749,Aberdeen,United Kingdom,57.05N,1.48W
1758-01-01,1.947,2.207,Aberdeen,United Kingdom,57.05N,1.48W
1758-02-01,3.696,3.596,Aberdeen,United Kingdom,57.05N,1.48W
1758-03-01,4.395,4.561,Aberdeen,United Kingdom,57.05N,1.48W
1758-04-01,4.547,7.911,Aberdeen,United Kingdom,57.05N,1.48W
1758-05-01,9.434,5.822,Aberdeen,United Kingdom,57.05N,1.48W
1758-06-01,11.271,5.172,Aberdeen,United Kingdom,57.05N,1.48W
1758-07-01,11.897,8.566,Aberdeen,United Kingdom,57.05N,1.48W
1758-08-01,13.167,7.134,Aberdeen,United Kingdom,57.05N,1.48W
